source_ip,destination_ip,source_port,destination_port,protocol,packet_count,byte_count,duration,packets_per_second,bytes_per_second,average_packet_size,unique_destination_ips,unique_destination_ports,tcp_syn_count,tcp_rst_count
23.193.56.66,10.21.149.251,443.0,62761.0,TCP,16,4205,1.323035478591919,12.09340207341113,3178.297232418363,262.8125,1,1,1,0
142.251.150.119,10.21.149.251,443.0,50458.0,TCP,19,6698,0.426560640335083,44.54231873122336,15702.339519038636,352.5263157894737,1,1,1,0
142.251.43.35,10.21.149.251,443.0,62072.0,TCP,17,6600,0.6153674125671387,27.625772266816682,10725.299821234712,388.2352941176471,1,1,1,0
150.171.28.12,10.21.149.251,443.0,60545.0,TCP,8,896,0.4257824420928955,18.788938220835774,2104.3610807336067,112.0,1,1,1,0
184.84.232.72,10.21.149.251,443.0,51768.0,UDP,10,3716,0.4781053066253662,20.915894179429806,7772.346277076116,371.6,1,1,0,0
184.84.232.72,10.21.149.251,,,OTHER,2,1437,0.34339213371276855,5.824245239330107,4184.720204458682,718.5,1,0,0,0
10.21.149.251,10.21.149.160,62440.0,53.0,UDP,1,73,0.001,1000.0,73000.0,73.0,1,1,0,0
10.21.149.251,10.21.149.160,58315.0,53.0,UDP,1,73,0.001,1000.0,73000.0,73.0,1,1,0,0
10.21.149.160,10.21.149.251,53.0,58315.0,UDP,1,233,0.001,1000.0,233000.0,233.0,1,1,0,0
10.21.149.160,10.21.149.251,53.0,62440.0,UDP,1,130,0.001,1000.0,130000.0,130.0,1,1,0,0
10.21.149.251,142.250.4.132,55056.0,443.0,TCP,13,3813,0.44579362869262695,29.161475542225507,8553.285095577374,293.3076923076923,1,1,1,0
10.21.149.251,10.21.149.160,64850.0,53.0,UDP,1,92,0.001,1000.0,92000.0,92.0,1,1,0,0
10.21.149.251,10.21.149.160,51097.0,53.0,UDP,1,92,0.001,1000.0,92000.0,92.0,1,1,0,0
10.21.149.251,142.250.4.132,60242.0,443.0,TCP,6,2099,0.34524965286254883,17.378728552664835,6079.658538673915,349.8333333333333,1,1,1,1
10.21.149.251,142.250.4.132,52807.0,443.0,TCP,8,2249,0.3757054805755615,21.29327468884513,5986.071846901587,281.125,1,1,1,0
142.250.4.132,10.21.149.251,443.0,55056.0,TCP,23,19936,0.39736509323120117,57.88127943744112,50170.486385427226,866.7826086956521,1,1,1,0
